"Rank","Idea","Tier","Approach and Execution","Value","Action Approach to Realize Value","Risk","Difficulty and Why","Time/Effort Involved"
"11","Persistence Benchmarking by Practice","Tier 2: Actionable with Targeted Messaging","Calculate biologic persistence rates (across all brands) by practice. High-persistence practices likely have strong patient selection or support infrastructure.","Medium to High - New starts at high-persistence practices more likely to stick. Better LTV per patient.","Prioritize high-persistence practices in targeting. Understand what drives their success. Replicate support models where possible.","Low - Retrospective analysis with clear logic.","Medium - Requires patient-level persistence calculation then practice-level aggregation.","5-6 weeks; annual refresh"
"12","Multi-Indication Practice Clustering","Tier 2: Actionable with Targeted Messaging","Identify practices managing both psoriasis and PsA populations. These benefit from unified Bimzelx messaging across indications.","Medium - Efficiency play for field force. Consistent messaging reinforcement.","Flag multi-indication practices for coordinated derm-rheum messaging. Align rep teams if separate. Track cross-indication prescribing.","Low - Standard indication and specialty analysis.","Low - Diagnosis code filtering by practice.","2-3 weeks; annual refresh"
"13","High-Comorbidity Practice Targeting","Tier 2: Actionable with Targeted Messaging","Identify rheumatology practices with elevated cardiometabolic comorbidity (diabetes and CVD and metabolic syndrome) in patient panels. IL-17 CV safety profile may resonate.","Medium - Differentiated safety messaging for relevant patient population.","Segment practices by comorbidity burden. Develop CV safety messaging track. Measure adoption in high-comorbidity segment.","Medium - CV safety messaging requires careful compliance review. Must stay on-label.","Low to Medium - Comorbidity code aggregation at practice level.","4-5 weeks; annual refresh"
"14","Academic vs Community Segmentation","Tier 2: Actionable with Targeted Messaging","Classify practices as academic medical centers vs community rheumatology. Tailor messaging depth and style accordingly.","Medium - Academics may want data depth while community wants real-world simplicity and efficiency.","Segment call lists by practice type. Develop differentiated messaging tracks and leave-behinds. Test conversion by segment.","Low - Standard segmentation approach.","Low - Practice classification using existing taxonomies.","2-3 weeks; static"
"15","Rheumatology Practice Congestion Signals","Tier 3: Strategically Valuable","Infer practice capacity constraints from referral-to-first-visit lag times in claims. Congested practices may prefer therapies that simplify monitoring.","Medium - Indirect signal but could inform messaging around ease of use and monitoring burden.","Flag capacity-constrained practices. Test messaging around simplified management. Monitor adoption lift.","Medium - Difficult to message directly. Inference is indirect.","Medium to High - Requires visit sequencing analysis and lag time calculation.","8-10 weeks; annual refresh"
"16","Treatment Inertia Scoring","Tier 3: Strategically Valuable","Score practices by average time patients remain on conventional DMARDs despite disease progression signals. High inertia practices are undertreating eligible patients.","Medium to High - Identifies undertreated populations. But changing ingrained behavior is difficult.","Flag high-inertia practices for intensified education. Partner with medical affairs on treat-to-target messaging. Long-term tracking required.","Medium to High - Deeply ingrained prescriber behavior. Long sales cycle to change.","High - Requires disease progression inference and treatment duration analysis.","10-12 weeks; annual refresh"
"17","Geographic Burden vs Penetration Gaps","Tier 3: Strategically Valuable","Map claims-based PsA and axSpA prevalence estimates against biologic utilization by geography. Where burden is high but penetration low something structural is suppressing treatment.","Medium to High - Strategic insight for territory planning and resource allocation.","Use for territory alignment and resource deployment decisions. Investigate root causes in gap regions. May inform market access or medical affairs priorities.","Low - Analytic insight not field messaging.","Medium - Prevalence estimation and geographic aggregation.","6-8 weeks; annual strategic planning input"
"18","Prior Authorization Burden Mapping","Tier 4: Outside Sales Control","Map PA rejection rates and time-to-approval by payer and geography. Identifies where administrative friction suppresses treatment.","Medium - Valuable intelligence but not field-actionable.","Share with market access team for payer negotiation priorities. May inform hub services resource deployment.","Low - Analytic insight.","Medium - Requires PA outcome tracking which may need supplementary data.","6-8 weeks; market access team deliverable"
"19","Specialty Pharmacy Concentration Analysis","Tier 4: Outside Sales Control","Identify which specialty pharmacies dominate in high-value territories. Understand distribution network dynamics.","Low to Medium - Informs partnership or pull-through strategy but not rep-actionable.","Share with trade and distribution team. May inform SP partnership priorities or patient support routing.","Low - Structural analysis.","Low to Medium - SP claims aggregation by geography.","4-5 weeks; trade team deliverable"
"20","Rheumatology Desert Mapping","Tier 4: Outside Sales Control","Map geographies with low rheumatologist density but high disease burden. Identifies access gaps requiring non-field solutions.","Medium - Market development opportunity but requires infrastructure investment not field effort.","Share with market development and patient services teams. May inform telemedicine partnerships or hub expansion.","Low - Strategic planning input.","Low to Medium - Provider density mapping against prevalence estimates.","4-5 weeks; strategic planning input"
